
Date:9/2/2010
Time:14:11:15
Output format: Text
Calculations precision: 64

Initial Quadrature
Quadrature Nodes
0.1227424698	0.1273703031	1.466307562	1.000000000
-0.1232340106	0.1275985838	-0.4661974600	1.000000000
0.1229253771	0.1272201106	1.466495641	1.000000000
-0.1229727132	0.1272442991	-0.4664845994	1.000000000
0.1229428995	0.1272056901	1.466514727	1.000000000
-0.1229477109	0.1272082835	-0.4665135772	1.000000000
0.1229446660	0.1272042226	1.466516728	1.000000000
-0.1229451712	0.1272045042	-0.4665166053	1.000000000
0.1229448505	0.1272040684	1.466516942	1.000000000
-0.1229449046	0.1272040993	-0.4665169289	1.000000000
0.1229448702	0.1272040518	1.466516965	1.000000000
-0.1229448761	0.1272040553	-0.4665169640	1.000000000
0.1229448723	0.1272040500	1.466516968	1.000000000
-0.1229448730	0.1272040504	-0.4665169678	1.000000000
0.1229448726	0.1272040498	1.466516968	1.000000000
-0.1229448726	0.1272040499	-0.4665169683	1.000000000
0.1229448726	0.1272040498	1.466516968	1.000000000
-0.1229448726	0.1272040498	-0.4665169683	1.000000000
0.1229448726	0.1272040498	1.466516968	1.000000000
-0.1229448726	0.1272040498	-0.4665169683	1.000000000
0.1229448726	0.1272040498	1.466516968	1.000000000
-0.1229448726	0.1272040498	-0.4665169683	1.000000000
0.1229448726	0.1272040498	1.466516968	1.000000000
-0.1229448726	0.1272040498	-0.4665169683	1.000000000
0.1229448726	0.1272040498	1.466516968	1.000000000
-0.1229448726	0.1272040498	-0.4665169683	1.000000000
0.1229448726	0.1272040498	1.466516968	1.000000000
-0.1229448726	0.1272040498	-0.4665169683	1.000000000
0.1229448726	0.1272040498	1.466516968	1.000000000
-0.1229448726	0.1272040498	-0.4665169683	1.000000000
0.1229448726	0.1272040498	1.466516968	1.000000000
-0.1229448726	0.1272040498	-0.4665169683	1.000000000
0.1229448726	0.1272040498	1.466516968	1.000000000
-0.1229448726	0.1272040498	-0.4665169683	1.000000000
0.1229448726	0.1272040498	1.466516968	1.000000000
-0.1229448726	0.1272040498	-0.4665169683	1.000000000
0.1229448726	0.1272040498	1.466516968	1.000000000
-0.1229448726	0.1272040498	-0.4665169683	1.000000000
0.1229448726	0.1272040498	1.466516968	1.000000000
-0.1229448726	0.1272040498	-0.4665169683	1.000000000
0.1229448726	0.1272040498	1.466516968	1.000000000
-0.1229448726	0.1272040498	-0.4665169683	1.000000000
0.1229448726	0.1272040498	1.466516968	1.000000000
-0.1229448726	0.1272040498	-0.4665169683	1.000000000
0.1229448726	0.1272040498	1.466516968	1.000000000
-0.1229448726	0.1272040498	-0.4665169683	1.000000000
0.1229448726	0.1272040498	1.466516968	1.000000000
-0.1229448726	0.1272040498	-0.4665169683	1.000000000
0.1229448726	0.1272040498	1.466516968	1.000000000
-0.1229448726	0.1272040498	-0.4665169683	1.000000000
0.1229448726	0.1272040498	1.466516968	1.000000000
-0.1229448726	0.1272040497	-0.4665169684	1.000000000
0.1229448731	0.1272040501	1.466516941	1.000000000
-0.1229448709	0.1272042234	-0.4665168781	1.000000000
0.1229440783	0.1272036428	1.466558501	1.000000000
-0.1229475334	0.1269364725	-0.4666560942	1.000000000
0.1241691857	0.1278314253	1.403131973	1.000000000
-0.1188841095	0.5315406259	-0.2491026169	1.000000000
