2
54
0	1
0	0	1
0.5	0	0	1
0.100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	0	0	1
0.66666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667e-1	0	0	1
0.28571428571428571428571428571428571428571428571428571428571428571428571428571428571428571428571428571428571428571428571428571429	0	0	1
0.11904761904761904761904761904761904761904761904761904761904761904761904761904761904761904761904761904761904761904761904761904762	0	0	1
0.95238095238095238095238095238095238095238095238095238095238095238095238095238095238095238095238095238095238095238095238095238095e-1	0	0	1
0.23333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333	0	0	1
0.12727272727272727272727272727272727272727272727272727272727272727272727272727272727272727272727272727272727272727272727272727273	0	0	1
0.10909090909090909090909090909090909090909090909090909090909090909090909090909090909090909090909090909090909090909090909090909091	0	0	1
0.20979020979020979020979020979020979020979020979020979020979020979020979020979020979020979020979020979020979020979020979020979021	0	0	1
0.13186813186813186813186813186813186813186813186813186813186813186813186813186813186813186813186813186813186813186813186813186813	0	0	1
0.11721611721611721611721611721611721611721611721611721611721611721611721611721611721611721611721611721611721611721611721611721612	0	0	1
0.19642857142857142857142857142857142857142857142857142857142857142857142857142857142857142857142857142857142857142857142857142857	0	0	1
0.13480392156862745098039215686274509803921568627450980392156862745098039215686274509803921568627450980392156862745098039215686275	0	0	1
0.12254901960784313725490196078431372549019607843137254901960784313725490196078431372549019607843137254901960784313725490196078431	0	0	1
0.18782249742002063983488132094943240454076367389060887512899896800825593395252837977296181630546955624355005159958720330237358101	0	0	1
0.13684210526315789473684210526315789473684210526315789473684210526315789473684210526315789473684210526315789473684210526315789474	0	0	1
0.12631578947368421052631578947368421052631578947368421052631578947368421052631578947368421052631578947368421052631578947368421053	0	0	1
0.18181818181818181818181818181818181818181818181818181818181818181818181818181818181818181818181818181818181818181818181818181818	0	0	1
0.13833992094861660079051383399209486166007905138339920948616600790513833992094861660079051383399209486166007905138339920948616601	0	0	1
0.12911725955204216073781291172595520421607378129117259552042160737812911725955204216073781291172595520421607378129117259552042161	0	0	1
0.17739130434782608695652173913043478260869565217391304347826086956521739130434782608695652173913043478260869565217391304347826087	0	0	1
0.13948717948717948717948717948717948717948717948717948717948717948717948717948717948717948717948717948717948717948717948717948718	0	0	1
0.13128205128205128205128205128205128205128205128205128205128205128205128205128205128205128205128205128205128205128205128205128205	0	0	1
0.17399267399267399267399267399267399267399267399267399267399267399267399267399267399267399267399267399267399267399267399267399267	0	0	1
0.1403940886699507389162561576354679802955665024630541871921182266009852216748768472906403940886699507389162561576354679802955665	0	0	1
0.13300492610837438423645320197044334975369458128078817733990147783251231527093596059113300492610837438423645320197044334975369458	0	0	1
0.17130144605116796440489432703003337041156840934371523915461624026696329254727474972191323692992213570634037819799777530589543938	0	0	1
0.14112903225806451612903225806451612903225806451612903225806451612903225806451612903225806451612903225806451612903225806451612903	0	0	1
0.1344086021505376344086021505376344086021505376344086021505376344086021505376344086021505376344086021505376344086021505376344086	0	0	1
0.16911764705882352941176470588235294117647058823529411764705882352941176470588235294117647058823529411764705882352941176470588235	0	0	1
0.1417366946778711484593837535014005602240896358543417366946778711484593837535014005602240896358543417366946778711484593837535014	0	0	1
0.13557422969187675070028011204481792717086834733893557422969187675070028011204481792717086834733893557422969187675070028011204482	0	0	1
0.16731016731016731016731016731016731016731016731016731016731016731016731016731016731016731016731016731016731016731016731016731017	0	0	1
0.14224751066856330014224751066856330014224751066856330014224751066856330014224751066856330014224751066856330014224751066856330014	0	0	1
0.13655761024182076813655761024182076813655761024182076813655761024182076813655761024182076813655761024182076813655761024182076814	0	0	1
0.16578947368421052631578947368421052631578947368421052631578947368421052631578947368421052631578947368421052631578947368421052632	0	0	1
0.14268292682926829268292682926829268292682926829268292682926829268292682926829268292682926829268292682926829268292682926829268293	0	0	1
0.13739837398373983739837398373983739837398373983739837398373983739837398373983739837398373983739837398373983739837398373983739837	0	0	1
0.16449234259784458309699376063528077141236528644356211003970504821327283040272263187748156551332955190017016449234259784458309699	0	0	1
0.14305849189570119802677942212825933756166314305849189570119802677942212825933756166314305849189570119802677942212825933756166314	0	0	1
0.13812544045102184637068357998590556730091613812544045102184637068357998590556730091613812544045102184637068357998590556730091614	0	0	1
0.16337285902503293807641633728590250329380764163372859025032938076416337285902503293807641633728590250329380764163372859025032938	0	0	1
0.14338575393154486586493987049028677150786308973172987974098057354301572617946345975948196114708603145235892691951896392229417206	0	0	1
0.13876040703052728954671600370027752081406105457909343200740055504162812210915818686401480111008325624421831637372802960222016651	0	0	1
0.16239687364307425097698653929656969170646982197134172818063395570994355188884064264003473729917498914459400781589231437255753365	0	0	1
0.14367346938775510204081632653061224489795918367346938775510204081632653061224489795918367346938775510204081632653061224489795918	0	0	1
0.1393197278911564625850340136054421768707482993197278911564625850340136054421768707482993197278911564625850340136054421768707483	0	0	1
0.16153846153846153846153846153846153846153846153846153846153846153846153846153846153846153846153846153846153846153846153846153846	0	0	1
0.14392839864537977745524915336236090953072085147556845670053217223028543783260764392839864537977745524915336236090953072085147557	0	0	1
0.13981615868408321238509917755200774068698597000483792936623125302370585389453313981615868408321238509917755200774068698597000484	0	0	1
0.16077758719268153230417381360777587192681532304173813607775871926815323041738136077758719268153230417381360777587192681532304174	0	0	1
0.14415584415584415584415584415584415584415584415584415584415584415584415584415584415584415584415584415584415584415584415584415584	0	0	1
