
Date:18/4/2010
Time:23:34:19
Output format: Text
Calculations precision: 128

Initial Quadrature
Initial classic operator matrix and disturb polynomials
Quadrature Nodes
(0.999876632482262,0.000000000000000)
(0.998889874967839,0.000000000000000)
(0.996917333752130,0.000000000000000)
(0.993960955499006,0.000000000000000)
(0.990023657784468,0.000000000000000)
(0.985109326079240,0.000000000000000)
(0.979222808944907,0.000000000000000)
(0.972369924558986,0.000000000000000)
(0.964557414366920,0.000000000000000)
(0.955793016689260,0.000000000000000)
(-0.999876632481666,0.000000000000000)
(-0.998889874961969,0.000000000000000)
(-0.996917333733130,0.000000000000000)
(-0.993960955455180,0.000000000000000)
(-0.990023657716559,0.000000000000000)
(-0.985109326154775,0.000000000000000)
(-0.979222810621767,0.000000000000000)
(-0.972369920397673,0.000000000000000)
(-0.964557418457940,0.000000000000000)
(-0.955793014798268,0.000000000000000)
(-0.946085358827525,0.000000000000000)
(-0.935444030829849,0.000000000000000)
(-0.923879532511268,0.000000000000000)
(-0.911403276635388,0.000000000000000)
(-0.898027575760206,0.000000000000000)
(-0.883765630088862,0.000000000000000)
(-0.868631514443135,0.000000000000000)
(-0.818149717562997,0.000000000000000)
(-0.835807361345309,0.000000000000000)
(-0.799684658262246,0.000000000000000)
(-0.780430407513298,0.000000000000000)
(-0.760405965517079,0.000000000000000)
(-0.739631095026648,0.000000000000000)
(0.946085358481869,0.000000000000000)
(-0.852640164341633,0.000000000000000)
(0.935444030814749,0.000000000000000)
(0.923879532544696,0.000000000000000)
(-0.695912796600965,0.000000000000000)
(-0.718126297731137,0.000000000000000)
(0.911403276601981,0.000000000000000)
(-0.673012513500989,0.000000000000000)
(0.898027575634556,0.000000000000000)
(-0.649448048369149,0.000000000000000)
(0.883765630695461,0.000000000000000)
(-0.625242656317828,0.000000000000000)
(-0.600420225249790,0.000000000000000)
(0.780430411844183,0.000000000000000)
(0.799684652866246,0.000000000000000)
(0.868631513699288,0.000000000000000)
(-0.575005252111508,0.000000000000000)
(0.818149720636641,0.000000000000000)
(0.739631095092720,0.000000000000000)
(0.760405963901583,0.000000000000000)
(-0.549022818026944,0.000000000000000)
(0.835807361043444,0.000000000000000)
(0.718126297893609,0.000000000000000)
(-0.522498564719296,0.000000000000000)
(-0.495458668418329,0.000000000000000)
(0.695912796536241,0.000000000000000)
(-0.467929814186948,0.000000000000000)
(0.673012513495273,0.000000000000000)
(-0.263873049813043,0.000000000000000)
(-0.294040325390335,0.000000000000000)
(-0.323917418141497,0.000000000000000)
(0.600420225338285,0.000000000000000)
(0.549022818006687,0.000000000000000)
(-0.439939169800645,0.000000000000000)
(0.575005251982833,0.000000000000000)
(0.522498564675893,0.000000000000000)
(-0.233445363722088,0.000000000000000)
(-0.353474843687730,0.000000000000000)
(0.649448048371096,0.000000000000000)
(0.495458668419950,0.000000000000000)
(-0.202787295284727,0.000000000000000)
(0.625242656350014,0.000000000000000)
(0.467929814276839,0.000000000000000)
(-0.171929101138740,0.000000000000000)
(0.439939170179097,0.000000000000000)
(0.852640164350654,0.000000000000000)
(0.294040323691224,0.000000000000000)
