
Date:2/2/2010
Time:11:17:28
Output format: Text
Calculations precision: 64

Initial Quadrature
Quadrature Nodes
(-0.5000308419,0.0000000000)	(0.9999691581,0.0000000000)
(-0.7303852261,0.0000000000)	(0.7696147739,0.0000000000)
(-0.7382233873,0.0000000000)	(0.7617766127,0.0000000000)
(-0.7460731707,0.0000000000)	(0.7539268293,0.0000000000)
(-0.7539268293,0.0000000000)	(0.7460731707,0.0000000000)
(-0.7617766127,0.0000000000)	(0.7382233873,0.0000000000)
(-0.7696147739,0.0000000000)	(0.7303852261,0.0000000000)
(-0.7774335778,0.0000000000)	(0.7225664222,0.0000000000)
(-0.7852253080,0.0000000000)	(0.7147746920,0.0000000000)
(-0.7929822751,0.0000000000)	(0.7070177249,0.0000000000)
(-0.8006968238,0.0000000000)	(0.6993031762,0.0000000000)
(-0.8083613410,0.0000000000)	(0.6916386590,0.0000000000)
(-0.8159682625,0.0000000000)	(0.6840317375,0.0000000000)
(-0.8235100813,0.0000000000)	(0.6764899187,0.0000000000)
(-0.8309793545,0.0000000000)	(0.6690206455,0.0000000000)
(-0.8383687109,0.0000000000)	(0.6616312891,0.0000000000)
(-0.8456708581,0.0000000000)	(0.6543291419,0.0000000000)
(-0.8528785897,0.0000000000)	(0.6471214103,0.0000000000)
(-0.8599847925,0.0000000000)	(0.6400152075,0.0000000000)
(-0.8669824536,0.0000000000)	(0.6330175464,0.0000000000)
(-0.8738646671,0.0000000000)	(0.6261353329,0.0000000000)
(-0.8806246412,0.0000000000)	(0.6193753588,0.0000000000)
(-0.8872557045,0.0000000000)	(0.6127442955,0.0000000000)
(-0.8937513130,0.0000000000)	(0.6062486870,0.0000000000)
(-0.9001050563,0.0000000000)	(0.5998949437,0.0000000000)
(-0.9063106641,0.0000000000)	(0.5936893359,0.0000000000)
(-0.9123620121,0.0000000000)	(0.5876379879,0.0000000000)
(-0.9182531284,0.0000000000)	(0.5817468716,0.0000000000)
(-0.9239781991,0.0000000000)	(0.5760218009,0.0000000000)
(-0.9295315744,0.0000000000)	(0.5704684256,0.0000000000)
(-0.9349077737,0.0000000000)	(0.5650922263,0.0000000000)
(-0.9401014914,0.0000000000)	(0.5598985086,0.0000000000)
(-0.9451076018,0.0000000000)	(0.5548923982,0.0000000000)
(-0.9499211646,0.0000000000)	(0.5500788354,0.0000000000)
(-0.9545374294,0.0000000000)	(0.5454625706,0.0000000000)
(-0.9589518403,0.0000000000)	(0.5410481597,0.0000000000)
(-0.9631600411,0.0000000000)	(0.5368399589,0.0000000000)
(-0.9671578786,0.0000000000)	(0.5328421214,0.0000000000)
(-0.9709414075,0.0000000000)	(0.5290585925,0.0000000000)
(-0.9745068939,0.0000000000)	(0.5254931061,0.0000000000)
(-0.9778508192,0.0000000000)	(0.5221491808,0.0000000000)
(-0.9809698831,0.0000000000)	(0.5190301169,0.0000000000)
(-0.9838610077,0.0000000000)	(0.5161389923,0.0000000000)
(-0.9865213397,0.0000000000)	(0.5134786603,0.0000000000)
(-0.9889482537,0.0000000000)	(0.5110517463,0.0000000000)
(-0.9911393546,0.0000000000)	(0.5088606454,0.0000000000)
(-0.9930924801,0.0000000000)	(0.5069075199,0.0000000000)
(-0.9948057027,0.0000000000)	(0.5051942973,0.0000000000)
(-0.9962773315,0.0000000000)	(0.5037226685,0.0000000000)
(-0.9975059144,0.0000000000)	(0.5024940856,0.0000000000)
(-0.9984902389,0.0000000000)	(0.5015097611,0.0000000000)
(-0.9992293334,0.0000000000)	(0.5007706666,0.0000000000)
(-0.9997224687,0.0000000000)	(0.5002775313,0.0000000000)
(-0.9999691581,0.0000000000)	(0.5000308419,0.0000000000)
Quadrature Weights
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000

Vector_Stieltjes_procedure ...
0.0000000000	0.0000000000	-0.7500000000	1.000000000
0.0000000000	0.03125000000	0.7064754520	1.000000000
-0.04551485787	0.06291893886	-0.7175285026	1.000000000
0.07030762170	0.07205548748	0.7217843262	1.000000000
-0.02888507914	0.01954957111	-0.7496568434	1.000000000
0.01296201013	0.02974580299	0.7464517508	1.000000000
-0.02397745429	0.02677065559	-0.7576373047	1.000000000
0.02470910297	0.03910801909	0.7396581862	1.000000000
-0.02642297190	0.02767214702	-0.7669037245	1.000000000
0.02620799711	0.04172903771	0.7415002036	1.000000000
-0.02837126677	0.02828686849	-0.7808868772	1.000000000
0.02526779474	0.04186750651	0.7454104525	1.000000000
-0.02934596720	0.02876116154	-0.7854826411	1.000000000
0.02492855132	0.04099115344	0.7492366915	1.000000000
-0.02843332607	0.02810556009	-0.7853876749	1.000000000
0.02492882733	0.04091913509	0.7534192486	1.000000000
-0.02839175301	0.02830799180	-0.7876208593	1.000000000
0.02559914130	0.04296213461	0.7571319183	1.000000000
-0.03056061908	0.03013026751	-0.7916994664	1.000000000
0.02687722672	0.04513048943	0.7605554412	1.000000000
-0.03220821651	0.03157310032	-0.7921448978	1.000000000
0.02803758511	0.04574321037	0.7629661508	1.000000000
-0.03184646983	0.03154693356	-0.7912497430	1.000000000
0.02853017011	0.04663390591	0.7633054633	1.000000000
-0.03250788578	0.03215378199	-0.7934432103	1.000000000
0.02889101520	0.04860262037	0.7636684381	1.000000000
-0.03466179928	0.03394324914	-0.7954321961	1.000000000
0.02997631270	0.04967028787	0.7669469620	1.000000000
-0.03499308767	0.03462227665	-0.7953807399	1.000000000
0.03140206862	0.05021056491	0.7714395886	1.000000000
-0.03454993698	0.03434058516	-0.7968819575	1.000000000
0.03171404453	0.05173086382	0.7737883841	1.000000000
-0.03637008292	0.03525826108	-0.7979734964	1.000000000
0.03118622920	0.05249024417	0.7751779440	1.000000000
-0.03768177711	0.03653177946	-0.7976389242	1.000000000
0.03208860756	0.05235065134	0.7766873245	1.000000000
-0.03668787724	0.03676900527	-0.8000624159	1.000000000
0.03429264195	0.05419887397	0.7775059240	1.000000000
-0.03735621258	0.03715292051	-0.8013496044	1.000000000
0.03465388512	0.05594451769	0.7803027834	1.000000000
-0.03927304209	0.03778451708	-0.7993318832	1.000000000
0.03342601310	0.05477631198	0.7855609467	1.000000000
-0.03882831851	0.03790547645	-0.8024890847	1.000000000
0.03425052323	0.05476838043	0.7864332948	1.000000000
-0.03838954490	0.03854072741	-0.8061197458	1.000000000
0.03649969439	0.05735109641	0.7830745701	1.000000000
-0.03975456581	0.03939611546	-0.8017298809	1.000000000
0.03673395349	0.05807244741	0.7861716426	1.000000000
-0.04029129924	0.03928661820	-0.8020742836	1.000000000
0.03592025486	0.05696351055	0.7941274174	1.000000000
-0.03995125827	0.03918720456	-0.8096101419	1.000000000
0.03639499653	0.05717835119	0.7945432911	1.000000000
-0.04010518807	0.03980145281	-0.8076493561	1.000000000
0.03744788612	0.05850765059	0.7891616093	1.000000000
-0.04058344739	0.04072488380	-0.8021103581	1.000000000
0.03873898975	0.06010188752	0.7905874363	1.000000000
-0.04151581780	0.04121835803	-0.8073023901	1.000000000
0.03918469366	0.05983838388	0.7994666018	1.000000000
-0.04126403348	0.04006977848	-0.8127148841	1.000000000
0.03741498673	0.05781049088	0.8037648596	1.000000000
-0.04032410033	0.03970366226	-0.8089246317	1.000000000
0.03728319914	0.05922543976	0.7967054373	1.000000000
-0.04206017636	0.04288315702	-0.8041782267	1.000000000
0.04154181490	0.06294323026	0.7895691644	1.000000000
-0.04301542162	0.04346805158	-0.8091431825	1.000000000
0.04270406151	0.06163473042	0.8024532207	1.000000000
-0.04068563724	0.03919915964	-0.8167649503	1.000000000
0.03732719908	0.05822683577	0.8183120596	1.000000000
-0.04149676664	0.03965650091	-0.8107199389	1.000000000
0.03602346471	0.05989361356	0.8049310136	1.000000000
-0.04444960617	0.04574500458	-0.8027207269	1.000000000
0.04395686168	0.06388117612	0.7797225377	1.000000000
-0.04204282639	0.04494489042	-0.8142765644	1.000000000
0.04797461500	0.06491127940	0.8040776530	1.000000000
-0.04056921153	0.03798716071	-0.8198721605	1.000000000
0.03670470184	0.05962168452	0.8400441994	1.000000000
-0.04448697774	0.03867967137	-0.8070427320	1.000000000
0.03028686774	0.05636919097	0.8196239929	1.000000000
-0.04528847667	0.04735223530	-0.8093869291	1.000000000
0.04464695373	0.06282277962	0.7551526122	1.000000000
-0.03988184370	0.04833184712	-0.8193220607	1.000000000
0.05970157474	0.07384980602	0.7969965092	1.000000000
-0.04152974492	0.03509760251	-0.8111242848	1.000000000
0.03218751598	0.05942077429	0.8732265335	1.000000000
-0.04878924813	0.03489406013	-0.8113672016	1.000000000
0.01711819528	0.04662143294	0.8649557075	1.000000000
-0.04518454259	0.04224369147	-0.8310100659	1.000000000
0.03281116454	0.05244750599	0.7171936044	1.000000000
-0.03561225769	0.05538114806	-0.8108984437	1.000000000
0.07994580741	0.09158384352	0.7503899140	1.000000000
-0.04396651497	0.03039692147	-0.7930348688	1.000000000
0.02249307556	0.05742562410	0.8933309971	1.000000000
-0.05450106765	0.03681610486	-0.8264925066	1.000000000
0.01247792588	0.03786392903	0.8214785333	1.000000000
-0.03583719860	0.04327564794	-0.8554447756	1.000000000
0.04973105566	0.05972700257	0.7173284518	1.000000000
-0.03185035676	0.02951200406	-0.8028940188	1.000000000
0.02921400087	0.06943388789	0.8007358848	1.000000000
-0.05935148055	0.05810326314	-0.7551940069	1.000000000
0.04721543592	0.06676347484	0.7232366546	0.0000000000
Matrix from Quadrature
-0.7500000000	1.000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
0.03125000000	0.7064754520	1.000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
-0.04551485787	0.06291893886	-0.7175285026	1.000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
0.0000000000	0.07030762170	0.07205548748	0.7217843262	1.000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
0.0000000000	0.0000000000	-0.02888507914	0.01954957111	-0.7496568434	1.000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
0.0000000000	0.0000000000	0.0000000000	0.01296201013	0.02974580299	0.7464517508	1.000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
0.0000000000	0.0000000000	0.0000000000	0.0000000000	-0.02397745429	0.02677065559	-0.7576373047	1.000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.02470910297	0.03910801909	0.7396581862	1.000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	-0.02642297190	0.02767214702	-0.7669037245	1.000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
