
Date:2/2/2010
Time:10:58:3
Output format: Text
Calculations precision: 64

Initial Quadrature
Quadrature Nodes
(0.9998766325,0.0000000000)	(1.999876632,0.0000000000)
(0.9988898750,0.0000000000)	(1.998889875,0.0000000000)
(0.9969173337,0.0000000000)	(1.996917334,0.0000000000)
(0.9939609555,0.0000000000)	(1.993960955,0.0000000000)
(0.9900236577,0.0000000000)	(1.990023658,0.0000000000)
(0.9851093262,0.0000000000)	(1.985109326,0.0000000000)
(0.9792228106,0.0000000000)	(1.979222811,0.0000000000)
(0.9723699204,0.0000000000)	(1.972369920,0.0000000000)
(0.9645574185,0.0000000000)	(1.964557418,0.0000000000)
(0.9557930148,0.0000000000)	(1.955793015,0.0000000000)
(0.9460853588,0.0000000000)	(1.946085359,0.0000000000)
(0.9354440308,0.0000000000)	(1.935444031,0.0000000000)
(0.9238795325,0.0000000000)	(1.923879533,0.0000000000)
(0.9114032766,0.0000000000)	(1.911403277,0.0000000000)
(0.8980275758,0.0000000000)	(1.898027576,0.0000000000)
(0.8837656301,0.0000000000)	(1.883765630,0.0000000000)
(0.8686315144,0.0000000000)	(1.868631514,0.0000000000)
(0.8526401644,0.0000000000)	(1.852640164,0.0000000000)
(0.8358073614,0.0000000000)	(1.835807361,0.0000000000)
(0.8181497174,0.0000000000)	(1.818149717,0.0000000000)
(0.7996846585,0.0000000000)	(1.799684658,0.0000000000)
(0.7804304073,0.0000000000)	(1.780430407,0.0000000000)
(0.7604059656,0.0000000000)	(1.760405966,0.0000000000)
(0.7396310950,0.0000000000)	(1.739631095,0.0000000000)
(0.7181262978,0.0000000000)	(1.718126298,0.0000000000)
(0.6959127966,0.0000000000)	(1.695912797,0.0000000000)
(0.6730125135,0.0000000000)	(1.673012514,0.0000000000)
(0.6494480483,0.0000000000)	(1.649448048,0.0000000000)
(0.6252426563,0.0000000000)	(1.625242656,0.0000000000)
(0.6004202253,0.0000000000)	(1.600420225,0.0000000000)
(0.5750052520,0.0000000000)	(1.575005252,0.0000000000)
