
Date:2/2/2010
Time:10:59:22
Output format: Text
Calculations precision: 64

Initial Quadrature
Quadrature Nodes
(-0.7181262978,0.0000000000)	(0.2874160359,0.0000000000)
(-0.7396310950,0.0000000000)	(0.2659414712,0.0000000000)
(-0.7604059656,0.0000000000)	(0.2451770608,0.0000000000)
(-0.7804304073,0.0000000000)	(0.2251428929,0.0000000000)
(-0.7996846585,0.0000000000)	(0.2058583492,0.0000000000)
(-0.8181497174,0.0000000000)	(0.1873420862,0.0000000000)
(-0.8358073614,0.0000000000)	(0.1696120172,0.0000000000)
(-0.8526401644,0.0000000000)	(0.1526852950,0.0000000000)
(-0.8686315144,0.0000000000)	(0.1365782951,0.0000000000)
(-0.8837656301,0.0000000000)	(0.1213065999,0.0000000000)
(-0.8980275758,0.0000000000)	(0.1068849838,0.0000000000)
(-0.9114032766,0.0000000000)	(0.09332739882,0.0000000000)
(-0.9238795325,0.0000000000)	(0.08064696102,0.0000000000)
(-0.9354440308,0.0000000000)	(0.06885593790,0.0000000000)
(-0.9460853588,0.0000000000)	(0.05796573653,0.0000000000)
(-0.9557930148,0.0000000000)	(0.04798689247,0.0000000000)
(-0.9645574185,0.0000000000)	(0.03892905960,0.0000000000)
(-0.9723699204,0.0000000000)	(0.03080100080,0.0000000000)
(-0.9792228106,0.0000000000)	(0.02361057944,0.0000000000)
(-0.9851093262,0.0000000000)	(0.01736475178,0.0000000000)
(-0.9900236577,0.0000000000)	(0.01206956026,0.0000000000)
(-0.9939609555,0.0000000000)	(0.007730127637,0.0000000000)
(-0.9969173337,0.0000000000)	(0.004350652031,0.0000000000)
(-0.9988898750,0.0000000000)	(0.001934402866,0.0000000000)
(-0.9998766325,0.0000000000)	(0.0004837177080,0.0000000000)
Quadrature Weights
0.01000000000	1.915250363e-005
0.01000000000	7.653591720e-005
0.01000000000	0.0001719282354
0.01000000000	0.0003049604040
0.01000000000	0.0004751177472
0.01000000000	0.0006817419594
0.01000000000	0.0009240336517
0.01000000000	0.001201055445
0.01000000000	0.001511735594
0.01000000000	0.001854872140
0.01000000000	0.002229137553
0.01000000000	0.002633083874
0.01000000000	0.003065148311
0.01000000000	0.003523659293
0.01000000000	0.004006842928
0.01000000000	0.004512829874
0.01000000000	0.005039662565
0.01000000000	0.005585302787
0.01000000000	0.006147639566
0.01000000000	0.006724497329
0.01000000000	0.007313644325
0.01000000000	0.007912801259
0.01000000000	0.008519650109
0.01000000000	0.009131843096
0.01000000000	0.009747011763
0.01000000000	0.01036277614
0.01000000000	0.01097675396
0.01000000000	0.01158656986
0.01000000000	0.01218986458
0.01000000000	0.01278430408
0.01000000000	0.01336758861
0.01000000000	0.01393746153
0.01000000000	0.01449171814
0.01000000000	0.01502821411
0.01000000000	0.01554487384
0.01000000000	0.01603969849
0.01000000000	0.01651077367
0.01000000000	0.01695627687
0.01000000000	0.01737448455
0.01000000000	0.01776377872
0.01000000000	0.01812265329
0.01000000000	0.01844971985
0.01000000000	0.01874371303
0.01000000000	0.01900349544
0.01000000000	0.01922806201
0.01000000000	0.01941654396
0.01000000000	0.01956821208
0.01000000000	0.01968247960
0.01000000000	0.01975890444
0.01000000000	0.01979719091
0.01000000000	0.01979719091
0.01000000000	0.01975890444
0.01000000000	0.01968247960
0.01000000000	0.01956821208
0.01000000000	0.01941654396
0.01000000000	0.01922806201
0.01000000000	0.01900349544
0.01000000000	0.01874371303
0.01000000000	0.01844971985
0.01000000000	0.01812265329
0.01000000000	0.01776377872
0.01000000000	0.01737448455
0.01000000000	0.01695627687
0.01000000000	0.01651077367
0.01000000000	0.01603969849
0.01000000000	0.01554487384
0.01000000000	0.01502821411
0.01000000000	0.01449171814
0.01000000000	0.01393746153
0.01000000000	0.01336758861
0.01000000000	0.01278430408
0.01000000000	0.01218986458
0.01000000000	0.01158656986
0.01000000000	0.01097675396
0.01000000000	0.01036277614
0.01000000000	0.009747011763
0.01000000000	0.009131843096
0.01000000000	0.008519650109
0.01000000000	0.007912801259
0.01000000000	0.007313644325
0.01000000000	0.006724497329
0.01000000000	0.006147639566
0.01000000000	0.005585302787
0.01000000000	0.005039662565
0.01000000000	0.004512829874
0.01000000000	0.004006842928
0.01000000000	0.003523659293
0.01000000000	0.003065148311
0.01000000000	0.002633083874
0.01000000000	0.002229137553
0.01000000000	0.001854872140
0.01000000000	0.001511735594
0.01000000000	0.001201055445
