
Date:2/2/2010
Time:11:27:21
Output format: Text
Calculations precision: 64

Initial Quadrature
Quadrature Nodes
(0.09993214786,0.0000000000)	(0.9999321479,0.0000000000)
(0.09938943123,0.0000000000)	(0.9993894312,0.0000000000)
(0.09830453355,0.0000000000)	(0.9983045336,0.0000000000)
(0.09667852550,0.0000000000)	(0.9966785255,0.0000000000)
(0.09451301174,0.0000000000)	(0.9945130117,0.0000000000)
(0.09181012939,0.0000000000)	(0.9918101294,0.0000000000)
(0.08857254584,0.0000000000)	(0.9885725458,0.0000000000)
(0.08480345622,0.0000000000)	(0.9848034562,0.0000000000)
(0.08050658015,0.0000000000)	(0.9805065802,0.0000000000)
(0.07568615814,0.0000000000)	(0.9756861581,0.0000000000)
(0.07034694736,0.0000000000)	(0.9703469474,0.0000000000)
(0.06449421696,0.0000000000)	(0.9644942170,0.0000000000)
(0.05813374288,0.0000000000)	(0.9581337429,0.0000000000)
(0.05127180215,0.0000000000)	(0.9512718021,0.0000000000)
(0.04391516667,0.0000000000)	(0.9439151667,0.0000000000)
(0.03607109655,0.0000000000)	(0.9360710965,0.0000000000)
(0.02774733294,0.0000000000)	(0.9277473329,0.0000000000)
(0.01895209039,0.0000000000)	(0.9189520904,0.0000000000)
(0.009694048753,0.0000000000)	(0.9096940488,0.0000000000)
(-1.765541624e-005,0.0000000000)	(0.8999823446,0.0000000000)
(-0.01017343783,0.0000000000)	(0.8898265622,0.0000000000)
(-0.02076327596,0.0000000000)	(0.8792367240,0.0000000000)
(-0.03177671892,0.0000000000)	(0.8682232811,0.0000000000)
(-0.04320289776,0.0000000000)	(0.8567971022,0.0000000000)
(-0.05503053623,0.0000000000)	(0.8449694638,0.0000000000)
(-0.06724796187,0.0000000000)	(0.8327520381,0.0000000000)
(-0.07984311757,0.0000000000)	(0.8201568824,0.0000000000)
(-0.09280357342,0.0000000000)	(0.8071964266,0.0000000000)
(-0.1061165390,0.0000000000)	(0.7938834610,0.0000000000)
(-0.1197688761,0.0000000000)	(0.7802311239,0.0000000000)
(-0.1337471114,0.0000000000)	(0.7662528886,0.0000000000)
(-0.1480374501,0.0000000000)	(0.7519625499,0.0000000000)
(-0.1626257894,0.0000000000)	(0.7373742106,0.0000000000)
(-0.1774977324,0.0000000000)	(0.7225022676,0.0000000000)
(-0.1926386022,0.0000000000)	(0.7073613978,0.0000000000)
(-0.2080334566,0.0000000000)	(0.6919665434,0.0000000000)
(-0.2236671028,0.0000000000)	(0.6763328972,0.0000000000)
(-0.2395241122,0.0000000000)	(0.6604758878,0.0000000000)
(-0.2555888359,0.0000000000)	(0.6444111641,0.0000000000)
(-0.2718454200,0.0000000000)	(0.6281545800,0.0000000000)
(-0.2882778211,0.0000000000)	(0.6117221789,0.0000000000)
(-0.3048698225,0.0000000000)	(0.5951301775,0.0000000000)
(-0.3216050499,0.0000000000)	(0.5783949501,0.0000000000)
(-0.3384669876,0.0000000000)	(0.5615330124,0.0000000000)
(-0.3554389948,0.0000000000)	(0.5445610052,0.0000000000)
(-0.3725043224,0.0000000000)	(0.5274956776,0.0000000000)
(-0.3896461289,0.0000000000)	(0.5103538711,0.0000000000)
(-0.4068474973,0.0000000000)	(0.4931525027,0.0000000000)
(-0.4240914521,0.0000000000)	(0.4759085479,0.0000000000)
(-0.4413609755,0.0000000000)	(0.4586390245,0.0000000000)
(-0.4586390245,0.0000000000)	(0.4413609755,0.0000000000)
(-0.4759085479,0.0000000000)	(0.4240914521,0.0000000000)
(-0.4931525027,0.0000000000)	(0.4068474973,0.0000000000)
(-0.5103538711,0.0000000000)	(0.3896461289,0.0000000000)
(-0.5274956776,0.0000000000)	(0.3725043224,0.0000000000)
(-0.5445610052,0.0000000000)	(0.3554389948,0.0000000000)
(-0.5615330124,0.0000000000)	(0.3384669876,0.0000000000)
(-0.5783949501,0.0000000000)	(0.3216050499,0.0000000000)
(-0.5951301775,0.0000000000)	(0.3048698225,0.0000000000)
(-0.6117221789,0.0000000000)	(0.2882778211,0.0000000000)
(-0.6281545800,0.0000000000)	(0.2718454200,0.0000000000)
(-0.6444111641,0.0000000000)	(0.2555888359,0.0000000000)
(-0.6604758878,0.0000000000)	(0.2395241122,0.0000000000)
(-0.6763328972,0.0000000000)	(0.2236671028,0.0000000000)
(-0.6919665434,0.0000000000)	(0.2080334566,0.0000000000)
(-0.7073613978,0.0000000000)	(0.1926386022,0.0000000000)
(-0.7225022676,0.0000000000)	(0.1774977324,0.0000000000)
(-0.7373742106,0.0000000000)	(0.1626257894,0.0000000000)
(-0.7519625499,0.0000000000)	(0.1480374501,0.0000000000)
(-0.7662528886,0.0000000000)	(0.1337471114,0.0000000000)
(-0.7802311239,0.0000000000)	(0.1197688761,0.0000000000)
(-0.7938834610,0.0000000000)	(0.1061165390,0.0000000000)
(-0.8071964266,0.0000000000)	(0.09280357342,0.0000000000)
(-0.8201568824,0.0000000000)	(0.07984311757,0.0000000000)
(-0.8327520381,0.0000000000)	(0.06724796187,0.0000000000)
(-0.8449694638,0.0000000000)	(0.05503053623,0.0000000000)
(-0.8567971022,0.0000000000)	(0.04320289776,0.0000000000)
(-0.8682232811,0.0000000000)	(0.03177671892,0.0000000000)
(-0.8792367240,0.0000000000)	(0.02076327596,0.0000000000)
(-0.8898265622,0.0000000000)	(0.01017343783,0.0000000000)
(-0.8999823446,0.0000000000)	(1.765541624e-005,0.0000000000)
(-0.9096940488,0.0000000000)	(-0.009694048753,0.0000000000)
(-0.9189520904,0.0000000000)	(-0.01895209039,0.0000000000)
(-0.9277473329,0.0000000000)	(-0.02774733294,0.0000000000)
(-0.9360710965,0.0000000000)	(-0.03607109655,0.0000000000)
(-0.9439151667,0.0000000000)	(-0.04391516667,0.0000000000)
(-0.9512718021,0.0000000000)	(-0.05127180215,0.0000000000)
(-0.9581337429,0.0000000000)	(-0.05813374288,0.0000000000)
(-0.9644942170,0.0000000000)	(-0.06449421696,0.0000000000)
(-0.9703469474,0.0000000000)	(-0.07034694736,0.0000000000)
(-0.9756861581,0.0000000000)	(-0.07568615814,0.0000000000)
(-0.9805065802,0.0000000000)	(-0.08050658015,0.0000000000)
(-0.9848034562,0.0000000000)	(-0.08480345622,0.0000000000)
(-0.9885725458,0.0000000000)	(-0.08857254584,0.0000000000)
(-0.9918101294,0.0000000000)	(-0.09181012939,0.0000000000)
(-0.9945130117,0.0000000000)	(-0.09451301174,0.0000000000)
(-0.9966785255,0.0000000000)	(-0.09667852550,0.0000000000)
(-0.9983045336,0.0000000000)	(-0.09830453355,0.0000000000)
(-0.9993894312,0.0000000000)	(-0.09938943123,0.0000000000)
(-0.9999321479,0.0000000000)	(-0.09993214786,0.0000000000)
Quadrature Weights
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
