
Date:4/2/2010
Time:13:55:39
Output format: Text
Calculations precision: 64

Initial Quadrature
Quadrature Nodes
0.0000000000	0.2812500000	0.05936842656	1.000000000
-0.08700986997	0.06135038892	-0.5062466117	1.000000000
0.08687054626	0.3049464437	0.6577925618	1.000000000
0.05277287370	-0.2178596171	1.468158838	1.000000000
0.3569364949	-2.456713117	-1.835499135	1.000000000
0.1119248520	0.1112073798	0.4948687322	1.000000000
-0.001329580705	0.3398702100	1.242924193	1.000000000
-0.6495736980	-5.824249225	-3.748179435	1.000000000
-6.999040398	-3.811286843	2.119366653	1.000000000
-0.01226334795	0.002379691689	-0.04162310825	1.000000000
0.02092004164	0.5020314046	0.03897715152	1.000000000
-0.03080424571	0.02700923584	-1.003651199	1.000000000
0.04735121291	-0.4307682447	1.265170184	1.000000000
0.3884191066	-0.4422942736	0.3592496851	1.000000000
0.2022168917	0.06273420829	-0.6836806795	1.000000000
0.02386764395	0.1144450430	0.5466994926	1.000000000
-0.01419500071	0.2384886097	-0.1468722204	1.000000000
-0.2268506461	-0.7205465823	-1.689031435	1.000000000
-0.8443599935	-1.198339277	1.341120403	1.000000000
-0.04327597862	0.02063897788	-0.02541917601	1.000000000
0.02470443847	0.5084241718	0.04346526549	1.000000000
-0.02517054508	0.006029229835	-1.628493998	1.000000000
0.02308031487	-1.993983206	2.410297676	1.000000000
2.109850363	-1.893357914	-0.3783453122	1.000000000
0.3582797368	0.3004366839	-0.4708986898	1.000000000
0.004536335852	0.1148027406	0.8275094299	1.000000000
-0.04536369649	-0.1381561064	-0.5944376463	1.000000000
-0.2108164208	-0.3344618112	-1.011891483	1.000000000
-0.2644202740	-0.1217387698	0.8200738146	1.000000000
-0.05360412780	0.03869493667	-0.04112145155	1.000000000
0.02871618570	0.5074013305	0.08275001050	1.000000000
-0.01908020293	-0.02361349243	-2.864687135	1.000000000
-0.06066139818	-7.340836745	2.325733002	1.000000000
-2.472401669	0.6057353874	0.8178819684	1.000000000
-0.1143839197	0.3899198414	-0.3673785755	1.000000000
-0.004235285435	0.1256846508	1.429515916	1.000000000
-0.1234371913	-1.455754213	-1.248720932	1.000000000
-0.2643249941	-0.2126692036	-0.6262055761	1.000000000
-0.1031533171	0.2912752401	0.4873065003	1.000000000
-0.05044895676	0.04969002257	-0.09405579614	1.000000000
0.03339871720	0.5012932576	0.1604763572	1.000000000
-0.008299532236	-0.06138889585	-8.579787608	1.000000000
-0.5248776652	-71.68181994	8.358388453	1.000000000
-2.551896078	0.2814683485	0.4270358436	1.000000000
-0.01028994773	0.4250404575	-0.3293661059	1.000000000
-0.006830966501	0.1521736433	3.108666957	1.000000000
-0.4007476245	-8.891993100	-2.947359706	1.000000000
-0.4175386283	-0.1430454089	-0.3769079614	1.000000000
-0.03559777292	0.4455118073	0.2711116783	1.000000000
-0.04351230991	0.05438731019	-0.1946916251	1.000000000
0.03943959490	0.4745015885	0.2864615101	1.000000000
0.01288045145	-0.1067134136	6.976491454	1.000000000
0.7434572495	-49.66775785	-7.149130827	1.000000000
1.200569257	0.1816571615	0.3407996589	1.000000000
0.005073743304	0.4337118180	-0.3516397590	1.000000000
-0.002036146020	0.2111398462	25.08810454	1.000000000
-5.181690855	-624.9850911	-24.91799339	1.000000000
-2.247137427	-0.09029772611	-0.2127420427	1.000000000
-0.003367848195	0.4959828825	0.1355999637	1.000000000
-0.03686372309	0.05329113853	-0.3595108106	1.000000000
0.04657663623	0.3884322437	0.4782872167	1.000000000
0.05516001682	-0.1620413194	2.001656542	1.000000000
0.3234703919	-4.058159306	-2.173869005	1.000000000
0.2353838089	0.1392022488	0.3341895038	1.000000000
0.006585475131	0.4217053888	-0.4805855182	1.000000000
0.02604305037	0.3689298899	-4.998171221	1.000000000
2.139267009	-26.35271712	5.251713102	1.000000000
0.2417713684	-0.04629605532	-0.1074065624	1.000000000
0.01237092480	0.5082818607	0.05817022541	1.000000000
-0.03169997188	0.04625579984	-0.6125153787	1.000000000
0.05265921394	0.1554025201	0.7661958079	1.000000000
0.1443146269	-0.2409910397	0.9300284174	1.000000000
0.2280643724	-0.7116520255	-1.128381936	1.000000000
0.08018710236	0.1193304732	0.3866660884	1.000000000
0.001674720359	0.3789733566	-1.813546114	1.000000000
0.4723040601	0.4968805773	-0.9101693742	1.000000000
6.600092314	-5.068735231	2.411375291	1.000000000
0.01679305673	-0.01017181321	-0.04595702890	1.000000000
0.02013280292	0.5092906102	0.02440013946	1.000000000
-0.02783598399	0.03254622973	-0.9917580927	1.000000000
0.05185141927	-0.4224111433	1.214683796	1.000000000
0.3735211848	-0.4038702136	0.4243146914	1.000000000
0.1994925614	0.05157486715	-0.6945482306	1.000000000
0.02857640601	0.1114650600	0.5137221980	1.000000000
-0.01064841658	0.2660513857	-0.07141676470	1.000000000
-0.2366591941	-0.8312828610	-1.825831911	1.000000000
-1.015939333	-1.457825799	1.437205105	1.000000000
-0.03988777352	0.01753744079	-0.02075406161	1.000000000
0.02450785596	0.5087958128	0.02656953045	1.000000000
-0.02431653492	0.01118766070	-1.583207458	1.000000000
0.03121311751	-1.874592033	2.127702398	1.000000000
1.534635900	-1.241660823	-0.1249453636	1.000000000
0.2853831342	0.2968721776	-0.4789935575	1.000000000
0.006668268881	0.1122779190	0.7681996049	1.000000000
-0.03765915253	-0.04969885135	-0.5263432940	1.000000000
-0.2036637733	-0.3541497919	-1.088079788	1.000000000
-0.3007619859	-0.2388718520	0.8891921979	1.000000000
-0.05365983517	0.03693944228	-0.02979818920	1.000000000
0.02810947888	0.5086700015	0.06273293257	0.0000000000
Matrix from Quadrature
-0.2500000000	1.000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
0.2812500000	0.05936842656	1.000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
-0.08700986997	0.06135038892	-0.5062466117	1.000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
