
Date:3/2/2010
Time:14:33:40
Output format: Text
Calculations precision: 64

Initial Quadrature
Quadrature Nodes
(-0.8806246412,0.0000000000)	(-0.2612492824,0.0000000000)	(0.6193753588,0.0000000000)
(-0.8872557045,0.0000000000)	(-0.2745114090,0.0000000000)	(0.6127442955,0.0000000000)
(-0.8937513130,0.0000000000)	(-0.2875026260,0.0000000000)	(0.6062486870,0.0000000000)
(-0.9001050563,0.0000000000)	(-0.3002101127,0.0000000000)	(0.5998949437,0.0000000000)
(-0.9063106641,0.0000000000)	(-0.3126213282,0.0000000000)	(0.5936893359,0.0000000000)
(-0.9123620121,0.0000000000)	(-0.3247240242,0.0000000000)	(0.5876379879,0.0000000000)
(-0.9182531284,0.0000000000)	(-0.3365062568,0.0000000000)	(0.5817468716,0.0000000000)
(-0.9239781991,0.0000000000)	(-0.3479563983,0.0000000000)	(0.5760218009,0.0000000000)
(-0.9295315744,0.0000000000)	(-0.3590631489,0.0000000000)	(0.5704684256,0.0000000000)
(-0.9349077737,0.0000000000)	(-0.3698155475,0.0000000000)	(0.5650922263,0.0000000000)
(-0.9401014914,0.0000000000)	(-0.3802029828,0.0000000000)	(0.5598985086,0.0000000000)
(-0.9451076018,0.0000000000)	(-0.3902152037,0.0000000000)	(0.5548923982,0.0000000000)
(-0.9499211646,0.0000000000)	(-0.3998423292,0.0000000000)	(0.5500788354,0.0000000000)
(-0.9545374294,0.0000000000)	(-0.4090748587,0.0000000000)	(0.5454625706,0.0000000000)
(-0.9589518403,0.0000000000)	(-0.4179036807,0.0000000000)	(0.5410481597,0.0000000000)
(-0.9631600411,0.0000000000)	(-0.4263200822,0.0000000000)	(0.5368399589,0.0000000000)
(-0.9671578786,0.0000000000)	(-0.4343157572,0.0000000000)	(0.5328421214,0.0000000000)
(-0.9709414075,0.0000000000)	(-0.4418828150,0.0000000000)	(0.5290585925,0.0000000000)
(-0.9745068939,0.0000000000)	(-0.4490137879,0.0000000000)	(0.5254931061,0.0000000000)
(-0.9778508192,0.0000000000)	(-0.4557016383,0.0000000000)	(0.5221491808,0.0000000000)
(-0.9809698831,0.0000000000)	(-0.4619397663,0.0000000000)	(0.5190301169,0.0000000000)
(-0.9838610077,0.0000000000)	(-0.4677220154,0.0000000000)	(0.5161389923,0.0000000000)
(-0.9865213397,0.0000000000)	(-0.4730426794,0.0000000000)	(0.5134786603,0.0000000000)
(-0.9889482537,0.0000000000)	(-0.4778965074,0.0000000000)	(0.5110517463,0.0000000000)
(-0.9911393546,0.0000000000)	(-0.4822787092,0.0000000000)	(0.5088606454,0.0000000000)
(-0.9930924801,0.0000000000)	(-0.4861849602,0.0000000000)	(0.5069075199,0.0000000000)
(-0.9948057027,0.0000000000)	(-0.4896114053,0.0000000000)	(0.5051942973,0.0000000000)
(-0.9962773315,0.0000000000)	(-0.4925546631,0.0000000000)	(0.5037226685,0.0000000000)
(-0.9975059144,0.0000000000)	(-0.4950118289,0.0000000000)	(0.5024940856,0.0000000000)
(-0.9984902389,0.0000000000)	(-0.4969804777,0.0000000000)	(0.5015097611,0.0000000000)
(-0.9992293334,0.0000000000)	(-0.4984586669,0.0000000000)	(0.5007706666,0.0000000000)
(-0.9997224687,0.0000000000)	(-0.4994449375,0.0000000000)	(0.5002775313,0.0000000000)
(-0.9999691581,0.0000000000)	(-0.4999383162,0.0000000000)	(0.5000308419,0.0000000000)
Quadrature Weights
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000
0.01000000000	0.01000000000	0.01000000000

Vector_Stieltjes_procedure ...
0.0000000000	0.0000000000	0.0000000000	-0.7500000000	1.000000000
0.0000000000	0.0000000000	0.03125000000	0.7500000000	1.000000000
0.0000000000	-0.04687500000	-0.4687500000	-5.465322966	1.000000000
-0.2058940453	-2.163432640	-28.82230959	5.475864904	1.000000000
0.08618922854	1.356009188	-0.3042436237	555.2830353	1.000000000
11.71370223	1.348624100	-28426.70625	-50.52943735	1.000000000
-4.700870614	19943.40724	36.33072109	-0.4370934906	1.000000000
77725.51827	139.7384915	0.01765291337	1.959229952	1.000000000
0.4516686643	0.2649370109	2.441742858	1.848408120	1.000000000
0.09390947521	-2.545001541	-1.082869103	-0.8891026308	1.000000000
2.220214896	0.5061127186	-0.1224578889	0.7852691663	1.000000000
0.04800411479	-0.02289148425	1.413480204	11.42457384	1.000000000
0.5321648789	-14.81387920	-115.5289294	-10.17234002	1.000000000
1.942409676	4.544372714	0.3081250285	1.492176352	1.000000000
0.4163956239	0.02521941970	-3.556461134	-5.416167900	1.000000000
-0.03544611451	-11.46398188	-19.79949205	4.033865112	1.000000000
0.2061159343	0.3284514167	-0.08307799696	-0.3950341910	1.000000000
0.3677268445	-0.1185997978	-0.1119307560	1.828875461	1.000000000
-0.002495885468	-0.08040571704	0.03641409429	-0.7349895073	1.000000000
-0.02229273442	-0.5579321640	-0.1076630987	0.2322522540	1.000000000
0.2246454785	0.04456710518	0.03741992769	1.038042266	1.000000000
0.04681907602	0.02778631575	-0.3142847376	-0.8820105731	1.000000000
-0.006520130799	0.3230087574	0.2229956468	0.9736999729	1.000000000
-0.1326111326	-0.1343235905	-2.338068698	12.70112648	1.000000000
0.8522262721	34.54534300	-181.9943405	-14.43114117	1.000000000
-0.1824068845	2.378614124	0.1664391137	0.2293394243	1.000000000
-1.720367754	-0.1151804044	-0.1905513398	1.180295067	1.000000000
-0.0008683356958	0.1165661380	-0.1357232448	-1.031262105	1.000000000
0.006086948240	0.05475387129	0.03114098999	-0.8161046789	1.000000000
-0.1286581133	-0.05305426184	-0.2399427768	1.063175827	1.000000000
-0.002261056282	0.1856953196	-0.09036256471	2.463307448	1.000000000
-0.7194505120	0.3899206320	-1.293570502	-1.421714366	1.000000000
-0.04445677626	0.4378123526	-0.8175748427	1.576174404	1.000000000
1.607322467	1.060357341	-0.03213615904	-1.851984162	1.000000000
0.9727099183	-0.6429031144	-0.9649387297	0.1855066163	1.000000000
0.02250159407	0.2060735788	-0.1950901060	0.8751636639	1.000000000
