
Date:3/2/2010
Time:16:18:51
Output format: Text
Calculations precision: 64

Initial Quadrature
Quadrature Nodes
(-0.4140354499,0.0000000000)	(0.5851217779,0.0000000000)
(-0.4295493840,0.0000000000)	(0.5697576695,0.0000000000)
(-0.4451328445,0.0000000000)	(0.5543260750,0.0000000000)
(-0.4607704521,0.0000000000)	(0.5388419236,0.0000000000)
(-0.4764467746,0.0000000000)	(0.5233201952,0.0000000000)
(-0.4921463413,0.0000000000)	(0.5077759060,0.0000000000)
(-0.5078536587,0.0000000000)	(0.4922240940,0.0000000000)
(-0.5235532254,0.0000000000)	(0.4766798048,0.0000000000)
(-0.5392295479,0.0000000000)	(0.4611580764,0.0000000000)
(-0.5548671555,0.0000000000)	(0.4456739250,0.0000000000)
(-0.5704506160,0.0000000000)	(0.4302423305,0.0000000000)
(-0.5859645501,0.0000000000)	(0.4148782221,0.0000000000)
(-0.6013936477,0.0000000000)	(0.3995964636,0.0000000000)
(-0.6167226819,0.0000000000)	(0.3844118389,0.0000000000)
(-0.6319365250,0.0000000000)	(0.3693390384,0.0000000000)
(-0.6470201626,0.0000000000)	(0.3543926439,0.0000000000)
(-0.6619587091,0.0000000000)	(0.3395871151,0.0000000000)
(-0.6767374219,0.0000000000)	(0.3249367754,0.0000000000)
(-0.6913417162,0.0000000000)	(0.3104557981,0.0000000000)
(-0.7057571793,0.0000000000)	(0.2961581925,0.0000000000)
(-0.7199695849,0.0000000000)	(0.2820577908,0.0000000000)
(-0.7339649071,0.0000000000)	(0.2681682340,0.0000000000)
(-0.7477293342,0.0000000000)	(0.2545029595,0.0000000000)
(-0.7612492824,0.0000000000)	(0.2410751876,0.0000000000)
(-0.7745114090,0.0000000000)	(0.2278979086,0.0000000000)
(-0.7875026260,0.0000000000)	(0.2149838709,0.0000000000)
(-0.8002101127,0.0000000000)	(0.2023455679,0.0000000000)
(-0.8126213282,0.0000000000)	(0.1899952263,0.0000000000)
(-0.8247240242,0.0000000000)	(0.1779447943,0.0000000000)
(-0.8365062568,0.0000000000)	(0.1662059299,0.0000000000)
(-0.8479563983,0.0000000000)	(0.1547899897,0.0000000000)
(-0.8590631489,0.0000000000)	(0.1437080179,0.0000000000)
(-0.8698155475,0.0000000000)	(0.1329707356,0.0000000000)
(-0.8802029828,0.0000000000)	(0.1225885304,0.0000000000)
(-0.8902152037,0.0000000000)	(0.1125714464,0.0000000000)
(-0.8998423292,0.0000000000)	(0.1029291746,0.0000000000)
(-0.9090748587,0.0000000000)	(0.09367104309,0.0000000000)
(-0.9179036807,0.0000000000)	(0.08480600862,0.0000000000)
(-0.9263200822,0.0000000000)	(0.07634264752,0.0000000000)
(-0.9343157572,0.0000000000)	(0.06828914755,0.0000000000)
(-0.9418828150,0.0000000000)	(0.06065329995,0.0000000000)
(-0.9490137879,0.0000000000)	(0.05344249191,0.0000000000)
(-0.9557016383,0.0000000000)	(0.04666369941,0.0000000000)
(-0.9619397663,0.0000000000)	(0.04032348051,0.0000000000)
(-0.9677220154,0.0000000000)	(0.03442796895,0.0000000000)
(-0.9730426794,0.0000000000)	(0.02898286827,0.0000000000)
(-0.9778965074,0.0000000000)	(0.02399344623,0.0000000000)
(-0.9822787092,0.0000000000)	(0.01946452980,0.0000000000)
(-0.9861849602,0.0000000000)	(0.01540050040,0.0000000000)
(-0.9896114053,0.0000000000)	(0.01180528972,0.0000000000)
(-0.9925546631,0.0000000000)	(0.008682375889,0.0000000000)
(-0.9950118289,0.0000000000)	(0.006034780130,0.0000000000)
(-0.9969804777,0.0000000000)	(0.003865063818,0.0000000000)
(-0.9984586669,0.0000000000)	(0.002175326015,0.0000000000)
(-0.9994449375,0.0000000000)	(0.0009672014332,0.0000000000)
(-0.9999383162,0.0000000000)	(0.0002418588540,0.0000000000)
Quadrature Weights
0.01000000000	1.915250363e-005
0.01000000000	7.653591720e-005
0.01000000000	0.0001719282354
0.01000000000	0.0003049604040
0.01000000000	0.0004751177472
0.01000000000	0.0006817419594
0.01000000000	0.0009240336517
0.01000000000	0.001201055445
0.01000000000	0.001511735594
0.01000000000	0.001854872140
0.01000000000	0.002229137553
0.01000000000	0.002633083874
0.01000000000	0.003065148311
0.01000000000	0.003523659293
0.01000000000	0.004006842928
0.01000000000	0.004512829874
0.01000000000	0.005039662565
0.01000000000	0.005585302787
0.01000000000	0.006147639566
0.01000000000	0.006724497329
0.01000000000	0.007313644325
0.01000000000	0.007912801259
0.01000000000	0.008519650109
0.01000000000	0.009131843096
0.01000000000	0.009747011763
0.01000000000	0.01036277614
0.01000000000	0.01097675396
0.01000000000	0.01158656986
0.01000000000	0.01218986458
0.01000000000	0.01278430408
0.01000000000	0.01336758861
0.01000000000	0.01393746153
0.01000000000	0.01449171814
0.01000000000	0.01502821411
0.01000000000	0.01554487384
0.01000000000	0.01603969849
0.01000000000	0.01651077367
0.01000000000	0.01695627687
0.01000000000	0.01737448455
0.01000000000	0.01776377872
0.01000000000	0.01812265329
0.01000000000	0.01844971985
0.01000000000	0.01874371303
0.01000000000	0.01900349544
0.01000000000	0.01922806201
0.01000000000	0.01941654396
0.01000000000	0.01956821208
0.01000000000	0.01968247960
0.01000000000	0.01975890444
0.01000000000	0.01979719091
0.01000000000	0.01979719091
0.01000000000	0.01975890444
0.01000000000	0.01968247960
0.01000000000	0.01956821208
0.01000000000	0.01941654396
0.01000000000	0.01922806201
0.01000000000	0.01900349544
0.01000000000	0.01874371303
0.01000000000	0.01844971985
0.01000000000	0.01812265329
0.01000000000	0.01776377872
0.01000000000	0.01737448455
0.01000000000	0.01695627687
0.01000000000	0.01651077367
0.01000000000	0.01603969849
0.01000000000	0.01554487384
0.01000000000	0.01502821411
0.01000000000	0.01449171814
0.01000000000	0.01393746153
0.01000000000	0.01336758861
0.01000000000	0.01278430408
0.01000000000	0.01218986458
0.01000000000	0.01158656986
0.01000000000	0.01097675396
0.01000000000	0.01036277614
0.01000000000	0.009747011763
0.01000000000	0.009131843096
