
Date:2/2/2010
Time:11:22:58
Output format: Text
Calculations precision: 64

Initial Quadrature
Quadrature Nodes
(0.4679298143,0.0000000000)	(0.4636635320,0.0000000000)
(0.4399391699,0.0000000000)	(0.4358844185,0.0000000000)
(0.4115143586,0.0000000000)	(0.4076836149,0.0000000000)
(0.3826834324,0.0000000000)	(0.3790884038,0.0000000000)
(0.3534748438,0.0000000000)	(0.3501264492,0.0000000000)
(0.3239174182,0.0000000000)	(0.3208257698,0.0000000000)
(0.2940403252,0.0000000000)	(0.2912147122,0.0000000000)
(0.2638730500,0.0000000000)	(0.2613219232,0.0000000000)
(0.2334453639,0.0000000000)	(0.2311763221,0.0000000000)
(0.2027872954,0.0000000000)	(0.2008070729,0.0000000000)
(0.1719291003,0.0000000000)	(0.1702435557,0.0000000000)
(0.1409012319,0.0000000000)	(0.1395153389,0.0000000000)
(0.1097343111,0.0000000000)	(0.1086521501,0.0000000000)
(0.07845909573,0.0000000000)	(0.07768384729,0.0000000000)
(0.04710645071,0.0000000000)	(0.04664039039,0.0000000000)
(0.01570731731,0.0000000000)	(0.01555181192,0.0000000000)
(-0.01570731731,0.0000000000)	(-0.01555181192,0.0000000000)
(-0.04710645071,0.0000000000)	(-0.04664039039,0.0000000000)
(-0.07845909573,0.0000000000)	(-0.07768384729,0.0000000000)
(-0.1097343111,0.0000000000)	(-0.1086521501,0.0000000000)
(-0.1409012319,0.0000000000)	(-0.1395153389,0.0000000000)
(-0.1719291003,0.0000000000)	(-0.1702435557,0.0000000000)
(-0.2027872954,0.0000000000)	(-0.2008070729,0.0000000000)
(-0.2334453639,0.0000000000)	(-0.2311763221,0.0000000000)
(-0.2638730500,0.0000000000)	(-0.2613219232,0.0000000000)
(-0.2940403252,0.0000000000)	(-0.2912147122,0.0000000000)
(-0.3239174182,0.0000000000)	(-0.3208257698,0.0000000000)
(-0.3534748438,0.0000000000)	(-0.3501264492,0.0000000000)
(-0.3826834324,0.0000000000)	(-0.3790884038,0.0000000000)
(-0.4115143586,0.0000000000)	(-0.4076836149,0.0000000000)
(-0.4399391699,0.0000000000)	(-0.4358844185,0.0000000000)
(-0.4679298143,0.0000000000)	(-0.4636635320,0.0000000000)
(-0.4954586684,0.0000000000)	(-0.4909940810,0.0000000000)
(-0.5224985647,0.0000000000)	(-0.5178496249,0.0000000000)
(-0.5490228180,0.0000000000)	(-0.5442041828,0.0000000000)
(-0.5750052520,0.0000000000)	(-0.5700322582,0.0000000000)
(-0.6004202253,0.0000000000)	(-0.5953088643,0.0000000000)
(-0.6252426563,0.0000000000)	(-0.6200095475,0.0000000000)
(-0.6494480483,0.0000000000)	(-0.6441104115,0.0000000000)
(-0.6730125135,0.0000000000)	(-0.6675881402,0.0000000000)
(-0.6959127966,0.0000000000)	(-0.6904200206,0.0000000000)
(-0.7181262978,0.0000000000)	(-0.7125839641,0.0000000000)
(-0.7396310950,0.0000000000)	(-0.7340585288,0.0000000000)
(-0.7604059656,0.0000000000)	(-0.7548229392,0.0000000000)
(-0.7804304073,0.0000000000)	(-0.7748571071,0.0000000000)
(-0.7996846585,0.0000000000)	(-0.7941416508,0.0000000000)
(-0.8181497174,0.0000000000)	(-0.8126579138,0.0000000000)
(-0.8358073614,0.0000000000)	(-0.8303879828,0.0000000000)
(-0.8526401644,0.0000000000)	(-0.8473147050,0.0000000000)
(-0.8686315144,0.0000000000)	(-0.8634217049,0.0000000000)
(-0.8837656301,0.0000000000)	(-0.8786934001,0.0000000000)
(-0.8980275758,0.0000000000)	(-0.8931150162,0.0000000000)
(-0.9114032766,0.0000000000)	(-0.9066726012,0.0000000000)
(-0.9238795325,0.0000000000)	(-0.9193530390,0.0000000000)
(-0.9354440308,0.0000000000)	(-0.9311440621,0.0000000000)
(-0.9460853588,0.0000000000)	(-0.9420342635,0.0000000000)
(-0.9557930148,0.0000000000)	(-0.9520131075,0.0000000000)
(-0.9645574185,0.0000000000)	(-0.9610709404,0.0000000000)
(-0.9723699204,0.0000000000)	(-0.9691989992,0.0000000000)
(-0.9792228106,0.0000000000)	(-0.9763894206,0.0000000000)
(-0.9851093262,0.0000000000)	(-0.9826352482,0.0000000000)
(-0.9900236577,0.0000000000)	(-0.9879304397,0.0000000000)
(-0.9939609555,0.0000000000)	(-0.9922698724,0.0000000000)
(-0.9969173337,0.0000000000)	(-0.9956493480,0.0000000000)
(-0.9988898750,0.0000000000)	(-0.9980655971,0.0000000000)
(-0.9998766325,0.0000000000)	(-0.9995162823,0.0000000000)
Quadrature Weights
0.01000000000	1.915250363e-005
0.01000000000	7.653591720e-005
0.01000000000	0.0001719282354
0.01000000000	0.0003049604040
0.01000000000	0.0004751177472
0.01000000000	0.0006817419594
0.01000000000	0.0009240336517
0.01000000000	0.001201055445
0.01000000000	0.001511735594
0.01000000000	0.001854872140
0.01000000000	0.002229137553
0.01000000000	0.002633083874
0.01000000000	0.003065148311
0.01000000000	0.003523659293
0.01000000000	0.004006842928
0.01000000000	0.004512829874
0.01000000000	0.005039662565
0.01000000000	0.005585302787
0.01000000000	0.006147639566
0.01000000000	0.006724497329
0.01000000000	0.007313644325
0.01000000000	0.007912801259
0.01000000000	0.008519650109
0.01000000000	0.009131843096
0.01000000000	0.009747011763
0.01000000000	0.01036277614
0.01000000000	0.01097675396
0.01000000000	0.01158656986
0.01000000000	0.01218986458
0.01000000000	0.01278430408
0.01000000000	0.01336758861
0.01000000000	0.01393746153
0.01000000000	0.01449171814
0.01000000000	0.01502821411
0.01000000000	0.01554487384
0.01000000000	0.01603969849
0.01000000000	0.01651077367
0.01000000000	0.01695627687
0.01000000000	0.01737448455
0.01000000000	0.01776377872
0.01000000000	0.01812265329
0.01000000000	0.01844971985
0.01000000000	0.01874371303
0.01000000000	0.01900349544
0.01000000000	0.01922806201
0.01000000000	0.01941654396
0.01000000000	0.01956821208
0.01000000000	0.01968247960
0.01000000000	0.01975890444
0.01000000000	0.01979719091
0.01000000000	0.01979719091
0.01000000000	0.01975890444
0.01000000000	0.01968247960
0.01000000000	0.01956821208
0.01000000000	0.01941654396
0.01000000000	0.01922806201
0.01000000000	0.01900349544
0.01000000000	0.01874371303
0.01000000000	0.01844971985
0.01000000000	0.01812265329
0.01000000000	0.01776377872
0.01000000000	0.01737448455
0.01000000000	0.01695627687
0.01000000000	0.01651077367
0.01000000000	0.01603969849
0.01000000000	0.01554487384
0.01000000000	0.01502821411
0.01000000000	0.01449171814
0.01000000000	0.01393746153
0.01000000000	0.01336758861
0.01000000000	0.01278430408
0.01000000000	0.01218986458
0.01000000000	0.01158656986
0.01000000000	0.01097675396
0.01000000000	0.01036277614
0.01000000000	0.009747011763
0.01000000000	0.009131843096
0.01000000000	0.008519650109
0.01000000000	0.007912801259
0.01000000000	0.007313644325
0.01000000000	0.006724497329
0.01000000000	0.006147639566
0.01000000000	0.005585302787
0.01000000000	0.005039662565
0.01000000000	0.004512829874
0.01000000000	0.004006842928
0.01000000000	0.003523659293
0.01000000000	0.003065148311
0.01000000000	0.002633083874
0.01000000000	0.002229137553
0.01000000000	0.001854872140
0.01000000000	0.001511735594
0.01000000000	0.001201055445
0.01000000000	0.0009240336517
0.01000000000	0.0006817419594
0.01000000000	0.0004751177472
0.01000000000	0.0003049604040
0.01000000000	0.0001719282354
0.01000000000	7.653591720e-005
0.01000000000	1.915250363e-005

Vector_Stieltjes_procedure ...
0.0000000000	0.0000000000	-2.472510325e-096	1.000000000
0.0000000000	0.5000000000	3.442563724e-096	1.000000000
-1.046062061e-096	-0.2500000000	-2.415250359e+095	1.000000000
-4.115960468e+094	-0.7158309580	1.386097862e+095	1.000000000
2.550043117e+095	-2.914680697e+190	-2.102795753e+095	1.000000000
1.211764288e+190	8.742270815e+094	-2.596378316	1.000000000
-1.122895142	30.38903180	-13.17320292	1.000000000
-143.3229317	61.98619266	-4.091603274	1.000000000
2.617611831	0.3474923935	-31.69898892	1.000000000
