
Date:4/2/2010
Time:13:54:44
Output format: Text
Calculations precision: 64

Initial Quadrature
Quadrature Nodes
(-0.7460731707,0.0000000000)	(0.7538879530,0.0000000000)
(-0.7539268293,0.0000000000)	(0.7461120470,0.0000000000)
(-0.7617766127,0.0000000000)	(0.7383399024,0.0000000000)
(-0.7696147739,0.0000000000)	(0.7305790382,0.0000000000)
(-0.7774335778,0.0000000000)	(0.7228369625,0.0000000000)
(-0.7852253080,0.0000000000)	(0.7151211653,0.0000000000)
(-0.7929822751,0.0000000000)	(0.7074391111,0.0000000000)
(-0.8006968238,0.0000000000)	(0.6997982318,0.0000000000)
(-0.8083613410,0.0000000000)	(0.6922059195,0.0000000000)
(-0.8159682625,0.0000000000)	(0.6846695192,0.0000000000)
(-0.8235100813,0.0000000000)	(0.6771963219,0.0000000000)
(-0.8309793545,0.0000000000)	(0.6697935575,0.0000000000)
(-0.8383687109,0.0000000000)	(0.6624683877,0.0000000000)
(-0.8456708581,0.0000000000)	(0.6552278990,0.0000000000)
(-0.8528785897,0.0000000000)	(0.6480790963,0.0000000000)
(-0.8599847925,0.0000000000)	(0.6410288954,0.0000000000)
(-0.8669824536,0.0000000000)	(0.6340841170,0.0000000000)
(-0.8738646671,0.0000000000)	(0.6272514798,0.0000000000)
(-0.8806246412,0.0000000000)	(0.6205375938,0.0000000000)
(-0.8872557045,0.0000000000)	(0.6139489543,0.0000000000)
(-0.8937513130,0.0000000000)	(0.6074919354,0.0000000000)
(-0.9001050563,0.0000000000)	(0.6011727839,0.0000000000)
(-0.9063106641,0.0000000000)	(0.5949976131,0.0000000000)
(-0.9123620121,0.0000000000)	(0.5889723971,0.0000000000)
(-0.9182531284,0.0000000000)	(0.5831029649,0.0000000000)
(-0.9239781991,0.0000000000)	(0.5773949949,0.0000000000)
(-0.9295315744,0.0000000000)	(0.5718540090,0.0000000000)
(-0.9349077737,0.0000000000)	(0.5664853678,0.0000000000)
(-0.9401014914,0.0000000000)	(0.5612942652,0.0000000000)
(-0.9451076018,0.0000000000)	(0.5562857232,0.0000000000)
(-0.9499211646,0.0000000000)	(0.5514645873,0.0000000000)
(-0.9545374294,0.0000000000)	(0.5468355215,0.0000000000)
(-0.9589518403,0.0000000000)	(0.5424030043,0.0000000000)
(-0.9631600411,0.0000000000)	(0.5381713238,0.0000000000)
(-0.9671578786,0.0000000000)	(0.5341445738,0.0000000000)
(-0.9709414075,0.0000000000)	(0.5303266500,0.0000000000)
(-0.9745068939,0.0000000000)	(0.5267212460,0.0000000000)
(-0.9778508192,0.0000000000)	(0.5233318497,0.0000000000)
(-0.9809698831,0.0000000000)	(0.5201617403,0.0000000000)
(-0.9838610077,0.0000000000)	(0.5172139845,0.0000000000)
(-0.9865213397,0.0000000000)	(0.5144914341,0.0000000000)
(-0.9889482537,0.0000000000)	(0.5119967231,0.0000000000)
(-0.9911393546,0.0000000000)	(0.5097322649,0.0000000000)
(-0.9930924801,0.0000000000)	(0.5077002502,0.0000000000)
(-0.9948057027,0.0000000000)	(0.5059026449,0.0000000000)
(-0.9962773315,0.0000000000)	(0.5043411879,0.0000000000)
(-0.9975059144,0.0000000000)	(0.5030173901,0.0000000000)
(-0.9984902389,0.0000000000)	(0.5019325319,0.0000000000)
(-0.9992293334,0.0000000000)	(0.5010876630,0.0000000000)
(-0.9997224687,0.0000000000)	(0.5004836007,0.0000000000)
(-0.9999691581,0.0000000000)	(0.5001209294,0.0000000000)
Quadrature Weights
0.01000000000	1.915250363e-005
0.01000000000	7.653591720e-005
0.01000000000	0.0001719282354
0.01000000000	0.0003049604040
0.01000000000	0.0004751177472
0.01000000000	0.0006817419594
0.01000000000	0.0009240336517
0.01000000000	0.001201055445
0.01000000000	0.001511735594
0.01000000000	0.001854872140
0.01000000000	0.002229137553
0.01000000000	0.002633083874
0.01000000000	0.003065148311
0.01000000000	0.003523659293
0.01000000000	0.004006842928
0.01000000000	0.004512829874
0.01000000000	0.005039662565
0.01000000000	0.005585302787
0.01000000000	0.006147639566
0.01000000000	0.006724497329
0.01000000000	0.007313644325
0.01000000000	0.007912801259
0.01000000000	0.008519650109
0.01000000000	0.009131843096
0.01000000000	0.009747011763
0.01000000000	0.01036277614
0.01000000000	0.01097675396
0.01000000000	0.01158656986
0.01000000000	0.01218986458
0.01000000000	0.01278430408
0.01000000000	0.01336758861
0.01000000000	0.01393746153
0.01000000000	0.01449171814
0.01000000000	0.01502821411
0.01000000000	0.01554487384
0.01000000000	0.01603969849
0.01000000000	0.01651077367
