
Date:2/2/2010
Time:13:36:9
Output format: Text
Calculations precision: 64

Initial Quadrature
Quadrature Nodes
-0.07932405440	0.1275266278	-0.5739653659	1.000000000
0.09877915294	0.2240654017	0.5626061161	1.000000000
-0.09002134361	0.1222110924	-0.5638966837	1.000000000
0.07784581773	0.2072726430	0.6067716821	1.000000000
-0.09911762040	0.1324313398	-0.5773400878	1.000000000
0.07192594687	0.1877944287	0.5936241940	1.000000000
-0.09092443458	0.1451419839	-0.5894850045	1.000000000
0.09104782713	0.2022767515	0.5268445230	1.000000000
-0.08093881629	0.1480249207	-0.5571367147	1.000000000
0.1165244272	0.2489366445	0.5067766895	1.000000000
-0.08766160011	0.1355573324	-0.5359684791	1.000000000
0.1030921395	0.2520306406	0.5772081647	1.000000000
-0.1056477244	0.1314033211	-0.5777420564	1.000000000
0.07257712037	0.1952895409	0.6502947174	1.000000000
-0.1008510201	0.1302780214	-0.6304527838	1.000000000
0.06848125784	0.1680211089	0.6214718484	1.000000000
-0.08289408445	0.1470317233	-0.5949116441	1.000000000
0.1017125053	0.2204269725	0.4859834048	1.000000000
-0.08168609697	0.1624101634	-0.5010897899	1.000000000
0.1337768207	0.3043454496	0.4562584467	1.000000000
-0.09921709618	0.1442851864	-0.5167612582	1.000000000
0.1054101338	0.2628839024	0.6072280991	1.000000000
-0.1117627895	0.1258452134	-0.6277100156	1.000000000
0.06398064229	0.1660580726	0.7192954949	1.000000000
-0.09261499975	0.1108854741	-0.6855921789	1.000000000
0.05640738814	0.1485157189	0.6450689913	1.000000000
-0.07952180683	0.1561989345	-0.5605529687	1.000000000
0.1037991614	0.2486864795	0.3803215047	1.000000000
-0.08171690865	0.1923329226	-0.4130790205	1.000000000
0.1671232368	0.3863189966	0.3489053743	1.000000000
-0.09405012723	0.1324216781	-0.5321425709	1.000000000
0.1161286442	0.2871317268	0.6432709446	1.000000000
-0.1131275112	0.1021370076	-0.6708201930	1.000000000
0.04002140275	0.1335080373	0.8101921972	1.000000000
-0.09023550764	0.08232340254	-0.7387172135	1.000000000
0.02742903378	0.1160239068	0.6872520835	1.000000000
-0.07594652062	0.1670017759	-0.5395800024	1.000000000
0.09765371318	0.2613155890	0.1558481175	1.000000000
-0.05264512416	0.1862858891	-0.3351776263	1.000000000
0.2284383688	0.5769987989	0.1655449721	1.000000000
-0.05780166276	0.06690362315	-0.5110884943	1.000000000
0.09007463535	0.3787127995	0.6211992638	1.000000000
-0.1352970817	0.1125760744	-0.6288309271	1.000000000
0.02521148449	0.1176681187	0.7418113394	1.000000000
-0.07675319735	0.1105405730	-0.8132538896	1.000000000
0.09511074678	0.1051686085	0.4842347873	1.000000000
-0.02444901862	0.05312780247	-0.7565805597	1.000000000
0.1005561852	0.2071626323	0.7142781085	1.000000000
-0.09374789628	0.08273276500	-0.3361148239	1.000000000
0.02242086469	0.2308522643	0.5467590419	1.000000000
-0.1792867587	0.2922339906	-0.5150462941	1.000000000
0.1044757974	0.1566878465	0.3611901544	1.000000000
-0.03862552951	0.07890622378	-0.8437351578	1.000000000
0.1501601164	0.1583567365	0.6959857524	1.000000000
-0.02567533223	0.05476121559	-0.6865246875	1.000000000
0.06853743704	0.2204648628	0.5613437931	1.000000000
-0.1114172144	0.1500095572	-0.2643396279	1.000000000
0.08419154208	0.2856099614	0.4183173682	1.000000000
-0.1471037852	0.1878820695	-0.6119167431	1.000000000
