2
100
0	1
0	0	1
2	0	0	1
1.25	0	0	1
1.111111111111111111111111111111111111111111111111111111111111111	0	0	1
1.0625	0	0	1
1.04	0	0	1
1.027777777777777777777777777777777777777777777777777777777777778	0	0	1
1.020408163265306122448979591836734693877551020408163265306122449	0	0	1
1.015625	0	0	1
1.012345679012345679012345679012345679012345679012345679012345679	0	0	1
1.01	0	0	1
1.008264462809917355371900826446280991735537190082644628099173554	0	0	1
1.006944444444444444444444444444444444444444444444444444444444444	0	0	1
1.005917159763313609467455621301775147928994082840236686390532544	0	0	1
1.005102040816326530612244897959183673469387755102040816326530612	0	0	1
1.004444444444444444444444444444444444444444444444444444444444444	0	0	1
1.00390625	0	0	1
1.00346020761245674740484429065743944636678200692041522491349481	0	0	1
1.00308641975308641975308641975308641975308641975308641975308642	0	0	1
1.002770083102493074792243767313019390581717451523545706371191136	0	0	1
1.0025	0	0	1
1.002267573696145124716553287981859410430839002267573696145124717	0	0	1
1.002066115702479338842975206611570247933884297520661157024793388	0	0	1
1.001890359168241965973534971644612476370510396975425330812854442	0	0	1
1.001736111111111111111111111111111111111111111111111111111111111	0	0	1
1.0016	0	0	1
1.001479289940828402366863905325443786982248520710059171597633136	0	0	1
1.001371742112482853223593964334705075445816186556927297668038409	0	0	1
1.001275510204081632653061224489795918367346938775510204081632653	0	0	1
1.001189060642092746730083234244946492271105826397146254458977408	0	0	1
1.001111111111111111111111111111111111111111111111111111111111111	0	0	1
1.001040582726326742976066597294484911550468262226847034339229969	0	0	1
1.0009765625	0	0	1
1.000918273645546372819100091827364554637281910009182736455463728	0	0	1
1.000865051903114186851211072664359861591695501730103806228373702	0	0	1
1.000816326530612244897959183673469387755102040816326530612244898	0	0	1
1.000771604938271604938271604938271604938271604938271604938271605	0	0	1
1.000730460189919649379108838568298027757487216946676406135865595	0	0	1
1.000692520775623268698060941828254847645429362880886426592797784	0	0	1
1.000657462195923734385272846811308349769888231426692965154503616	0	0	1
1.000625	0	0	1
1.000594883997620464009518143961927424152290303390838786436644854	0	0	1
1.000566893424036281179138321995464852607709750566893424036281179	0	0	1
1.0005408328826392644672796106003244997295835586803677663601947	0	0	1
1.000516528925619834710743801652892561983471074380165289256198347	0	0	1
1.000493827160493827160493827160493827160493827160493827160493827	0	0	1
1.000472589792060491493383742911153119092627599243856332703213611	0	0	1
1.000452693526482571299230421004979628791308284291534631054775917	0	0	1
1.000434027777777777777777777777777777777777777777777777777777778	0	0	1
1.00041649312786339025406080799666805497709287796751353602665556	0	0	1
1.0004	0	0	1
1.000384467512495194156093810073048827374086889657823913879277201	0	0	1
1.000369822485207100591715976331360946745562130177514792899408284	0	0	1
1.000355998576005695977216091135635457458170167319330722677109292	0	0	1
1.000342935528120713305898491083676268861454046639231824417009602	0	0	1
1.000330578512396694214876033057851239669421487603305785123966942	0	0	1
1.000318877551020408163265306122448979591836734693877551020408163	0	0	1
1.000307787011388119421360418590335487842413050169282856263465682	0	0	1
1.000297265160523186682520808561236623067776456599286563614744352	0	0	1
1.000287273771904625107727664464234415397874174087905774202815283	0	0	1
1.000277777777777777777777777777777777777777777777777777777777778	0	0	1
1.000268744961031980650362805697393173877989787691480784735286213	0	0	1
1.000260145681581685744016649323621227887617065556711758584807492	0	0	1
1.000251952632905013857394809775762156714537666918619299571680524	0	0	1
1.000244140625	0	0	1
1.000236686390532544378698224852071005917159763313609467455621302	0	0	1
1.000229568411386593204775022956841138659320477502295684113865932	0	0	1
1.000222766763198930719536645132546224103363778124303853865003342	0	0	1
1.000216262975778546712802768166089965397923875432525951557093426	0	0	1
1.000210039907582440663726107960512497374501155219491703423650494	0	0	1
1.000204081632653061224489795918367346938775510204081632653061224	0	0	1
1.000198373338623289029954374132116643523110493949613171989684586	0	0	1
1.000192901234567901234567901234567901234567901234567901234567901	0	0	1
1.00018765246762994933383373991367986489022330643647963970726215	0	0	1
1.000182615047479912344777209642074506939371804236669101533966399	0	0	1
1.000177777777777777777777777777777777777777777777777777777777778	0	0	1
1.000173130193905817174515235457063711911357340720221606648199446	0	0	1
1.000168662506324843987181649519311856974194636532298869961207624	0	0	1
1.000164365548980933596318211702827087442472057856673241288625904	0	0	1
1.000160230732254446402820060887678256689633071623137317737542061	0	0	1
1.00015625	0	0	1
1.000152415790275872580399329370522786160646242950769699740893157	0	0	1
1.000148720999405116002379535990481856038072575847709696609161214	0	0	1
1.000145158949049208883727681811583684134126868921469008564377994	0	0	1
1.000141723356009070294784580498866213151927437641723356009070295	0	0	1
1.000138408304498269896193771626297577854671280276816608996539792	0	0	1
1.000135208220659816116819902650081124932395889670091941590048675	0	0	1
1.000132117849121416303342581582771832474567314044127361606553045	0	0	1
1.000129132231404958677685950413223140495867768595041322314049587	0	0	1
1.000126246686024491857088751420275217775533392248453478096199975	0	0	1
1.000123456790123456790123456790123456790123456790123456790123457	0	0	1
1.000120758362516604274846033087791329549571307813066054824296583	0	0	1
1.000118147448015122873345935727788279773156899810964083175803403	0	0	1
1.000115620302925193664007399699387212394496473580760781593247774	0	0	1
1.000113173381620642824807605251244907197827071072883657763693979	0	0	1
1.000110803324099722991689750692520775623268698060941828254847645	0	0	1
1.000108506944444444444444444444444444444444444444444444444444444	0	0	1
1.000106281220108406844510574981400786481028802210649378254862366	0	0	1
1.00010412328196584756351520199916701374427321949187838400666389	0	0	
100
100
1
0
4.1
0.1

