2
100
0.5188747756753118629090426829150354536269985406082276033178313946	1
0.6481481481481481481481481481481481481481481481481481481481481481e-1	-0.1349001794597505096727658536679716370984011675134179173457348843	1
-0.7127781101106490919866034327184659946266688287285516987883979339e-2	0.6481481481481481481481481481481481481481481481481481481481481481e-1	-0.4783551412221950622987135497719451557912840078682266903109774697	1
-0.8909726376383113649832542908980824932833360359106896234854974174e-3	0.6481481481481481481481481481481481481481481481481481481481481481e-1	-0.3824001794597505096727658536679716370984011675134179173457348843	1
-0.7127781101106490919866034327184659946266688287285516987883979339e-2	0.6481481481481481481481481481481481481481481481481481481481481481e-1	-0.4788576506285430123744040291031051359421624571241987005370438889	1
-0.8909726376383113649832542908980824932833360359106896234854974174e-3	0.6481481481481481481481481481481481481481481481481481481481481481e-1	-0.3828340637572711708297906470564013891645168699927567603209414959	1
-0.7127781101106490919866034327184659946266688287285516987883979339e-2	0.6481481481481481481481481481481481481481481481481481481481481481e-1	-0.4792348651564461711174223454403520700024910624163470658693141631	1
-0.8909726376383113649832542908980824932833360359106896234854974174e-3	0.6481481481481481481481481481481481481481481481481481481481481481e-1	-0.3831640683486393985616547425568605259872900564023068062346237732	1
-0.7127781101106490919866034327184659946266688287285516987883979339e-2	0.6481481481481481481481481481481481481481481481481481481481481481e-1	-0.4795252243246881370909573170849645463730014593917723966821686054	1
-0.8909726376383113649832542908980824932833360359106896234854974174e-3	0.6481481481481481481481481481481481481481481481481481481481481481e-1	-0.3834208895189221073059019483425278501161526468033587457481017482	1
-0.7127781101106490919866034327184659946266688287285516987883979339e-2	0.6481481481481481481481481481481481481481481481481481481481481481e-1	-0.4797534822122052838673633527502594709271852728348450990141301966	1
-0.8909726376383113649832542908980824932833360359106896234854974174e-3	0.6481481481481481481481481481481481481481481481481481481481481481e-1	-0.3836246692556688770197046291781757187310542287379077132641022313	1
-0.7127781101106490919866034327184659946266688287285516987883979339e-2	0.6481481481481481481481481481481481481481481481481481481481481481e-1	-0.4799361636825953903608740828400180541018956329946261422231911976	1
-0.8909726376383113649832542908980824932833360359106896234854974174e-3	0.6481481481481481481481481481481481481481481481481481481481481481e-1	-0.3837890683486393985616547425568605259872900564023068062346237732	1
-0.7127781101106490919866034327184659946266688287285516987883979339e-2	0.6481481481481481481481481481481481481481481481481481481481481481e-1	-0.4800846415983613941148907197904796348225331971649253623429386366	1
-0.8909726376383113649832542908980824932833360359106896234854974174e-3	0.6481481481481481481481481481481481481481481481481481481481481481e-1	-0.3839236169597505096727658536679716370984011675134179173457348843	1
-0.7127781101106490919866034327184659946266688287285516987883979339e-2	0.6481481481481481481481481481481481481481481481481481481481481481e-1	-0.4802069506791417642718572252575999917357195493825896602267048772	1
-0.8909726376383113649832542908980824932833360359106896234854974174e-3	0.6481481481481481481481481481481481481481481481481481481481481481e-1	-0.3840351275566363228215547810036117755067056657833141111173611819	1
-0.7127781101106490919866034327184659946266688287285516987883979339e-2	0.6481481481481481481481481481481481481481481481481481481481481481e-1	-0.4803088977940758921929981334114951586178994185754458660699237074	1
-0.8909726376383113649832542908980824932833360359106896234854974174e-3	0.6481481481481481481481481481481481481481481481481481481481481481e-1	-0.3841285745214789047344942487297000321601295625751463124074632794	1
-0.7127781101106490919866034327184659946266688287285516987883979339e-2	0.6481481481481481481481481481481481481481481481481481481481481481e-1	-0.4803947641347684877118484785166665186155142424450959905463030101	1
-0.8909726376383113649832542908980824932833360359106896234854974174e-3	0.6481481481481481481481481481481481481481481481481481481481481481e-1	-0.3842076586841272409747049118397167894529718046325314907529371004	1
-0.7127781101106490919866034327184659946266688287285516987883979339e-2	0.6481481481481481481481481481481481481481481481481481481481481481e-1	-0.4804677621287644027056844702736561966031132279650794315276649894	1
-0.8909726376383113649832542908980824932833360359106896234854974174e-3	0.6481481481481481481481481481481481481481481481481481481481481481e-1	-0.3842751794597505096727658536679716370984011675134179173457348843	1
