1
36
0	1
0.5	0	1
0.25	0	1
0.25	0	1
0.25	0	1
0.25	0	1
0.25	0	1
0.25	0	1
0.25	0	1
0.25	0	1
0.25	0	1
0.25	0	1
0.25	0	1
0.25	0	1
0.25	0	1
0.25	0	1
0.25	0	1
0.25	0	1
0.25	0	1
0.25	0	1
0.25	0	1
0.25	0	1
0.25	0	1
0.25	0	1
0.25	0	1
0.25	0	1
0.25	0	1
0.25	0	1
0.25	0	1
0.25	0	1
0.25	0	1
0.25	0	1
0.25	0	1
0.25	0	1
0.25	0	1
0.25	0	1
